Team,Accuracy,F1-Score
nassar24,97.93,97.15
ahossam17,97.93,96.98
habiba87720,95.85,93.7
EsraaOsamaHassan,95.85,94.8
Ahmed-Hamed-1,93.78,91.56
ahmedbenbellaa,90.16,88.23
asmaa9313,89.64,85.81
rowaidaehab135-eng,89.12,82.94
AdhamHesham07,86.01,78.45
AhmetEbrahem,84.97,72.98
BaraaMohamed7,82.38,76.64
A7MEDRAGAB82,76.17,69.02
BasmalaOmar2411,65.8,61.69
